,gen,nevals,mean_training_error,std_training_error,min_training_error,max_training_error,testing_error,std_testing_error,avg_size,elite_size
0,0,500.0,4852073596807.4,759386023153811.9,74.202538,2425865729316800.0,,,,
1,1,419.02,2821615520590.5,445176214812378.9,74.62222,1410654450392851.5,77.518454,110.24362651036293,3.21936,4.28
2,2,419.64,29751033018.37,4597395673976.405,70.31152,14872341514239.6,70.18726,105.15421297789166,3.36396,4.32
3,3,418.18,4539209136722.94,716238728938305.1,64.218302,2269605354094225.5,65.041406,94.17848821568755,3.54108,4.64
4,4,418.96,1975876863928.842,223663044867164.88,55.840478,958726382329602.4,56.538078,81.66869607538621,3.68316,4.86
5,5,420.04,771987600.96,81665128502.88911,51.529222,369982458720.0,52.651446,74.26709710559987,3.8372,5.24
6,6,421.0,565083625.518,80797770841.18352,51.620694,278465422408.46,52.222816,69.1380261111597,3.9808,5.58
7,7,422.2,255384240.0446,29991182115.447716,51.56101,126576656261.68,52.364048,72.39015708243629,4.1566,6.22
8,8,419.88,85603347546.0072,13091532440034.281,53.184944,42797950568747.22,54.702516,73.35538710836855,4.40908,6.82
9,9,418.54,356360120490.1528,56283154255375.83,56.45613,178179295602734.75,57.487482,71.31600526353535,4.80912,7.56
10,10,418.62,72550948452.2794,10833668548868.096,57.165144,36247277287516.3,57.881526,71.92434192770345,5.36864,8.58
11,11,419.56,252819267.8338,31457165139.67183,51.08175,119237291382.6,52.199718,67.61117183121736,5.9402800000000004,8.68
12,12,421.34,21139400.619,1672216217.206606,50.603868,7059590267.86,51.286702,66.56134317276809,6.62336,9.82
13,13,418.86,136279646320797.2,2.1526027475609264e+16,48.252762,6.813967731536876e+16,48.942022,59.05154958919028,7.33756,10.52
14,14,420.3,33114940141.18986,5220798932095.77,47.435532,16555310866211.092,48.067054,58.553257356270116,8.12344,10.84
15,15,422.46,9943966499.9281,1556468893414.3489,42.649174,4969360624981.48,44.053171999999996,55.9829365953895,9.10744,12.4
16,16,420.58,138561904.95434,14329991604.560518,41.617714,62809718955.032,42.657746,56.34229216859215,10.30036,13.04
17,17,422.62,578891057588699.8,9.137150858058294e+16,39.490842,2.8944652476152915e+17,40.08179,52.51203353717698,11.70076,15.14
18,18,416.96,10710359858.8038,1558011923562.8652,37.156036,5349241241900.64,37.787984,51.21978236460206,13.20152,17.26
19,19,419.36,1979966917342.5264,312627470850458.8,34.962014,989858655004963.6,35.998588,49.917887795047974,14.89512,18.36
20,20,421.12,2499463948.3208,391724321060.73804,31.839954,1247556344606.1,32.682212,46.587211947529106,16.7086,21.6
21,21,419.0,637312973.8447,47783610765.5627,29.806552,313239915157.98,31.019884,46.28571801461655,18.47224,22.7
22,22,418.7,1099381067.1028,102537778980.10715,26.974502,547449513371.74,27.704824,45.22466881010849,20.501,23.74
23,23,420.94,67760249.41612,5788281431.3893795,26.108102,32621523390.13,27.076664,42.81974652123948,22.458479999999998,25.5
24,24,419.4,617016683452.6346,89634572028327.08,24.623892,308503153795717.5,25.781764,41.16040344033572,24.40288,25.52
25,25,420.58,189442178.91328,18331245864.142437,23.511418,90238946613.012,24.238072,39.11629311914154,26.65608,28.58
26,26,418.6,28722989.33782,2403599797.4639874,22.2223194,14053935626.84,22.993562,37.179494753180826,28.7586,29.96
27,27,423.36,160660060.133,13366746884.671162,21.98519,57754319759.08,22.953870000000002,36.39038094007262,30.88916,33.92
28,28,421.82,2196351728.01356,325513818128.6326,21.156428,1098067692470.198,22.213686,35.23240938884822,33.06216,35.28
29,29,418.64,439927221.8042,47042197511.6171,20.692084,157277288417.922,21.625472,34.87692711477317,34.83292,36.82
30,30,417.88,1056784706.20428,85562876894.40662,19.5810036,521848864243.28,20.626479,34.56084156012119,36.17016,40.8
31,31,418.74,291699409.25988,42268383560.34676,19.5193636,144582482831.3692,20.536091,34.86774432974981,37.0246,40.88
32,32,418.1,60400612.93556,5869331669.1824045,18.7239642,25558965208.021,19.7570828,33.702498161548796,38.28884,44.58
33,33,419.32,1722690064504.9329,272079133838384.97,18.4034448,861340832913428.5,19.452583,33.01990424474911,39.32916,43.34
34,34,421.12,440119164.9471,47262172433.62319,17.8965374,210701240270.23,18.7551928,31.585227733495927,40.449799999999996,44.28
35,35,418.76,284443798.452134,40175435702.72584,17.7530996,142173198898.2952,18.5922728,32.18350449755899,41.97344,43.48
36,36,420.48,323865748.615642,27274509220.57174,17.0722302,154309075957.77808,18.0721608,31.097354012883486,43.17824,49.48
37,37,420.5,2946341178.1511,437575681960.68396,16.8037654,1455800307500.21,17.8784332,30.820148954818496,44.99128,49.64
38,38,419.62,336079107.385572,33362621456.98841,16.3972368,165914812335.3618,17.4380528,30.202034420952508,46.710679999999996,55.08
39,39,416.44,83173240.20652,11063940753.508846,16.0863164,39333717789.358,17.0930178,29.912701897571875,48.47316,56.32
40,40,417.9,923628014.49144,136774740543.94495,15.9023584,460942163446.884,16.96329,29.749849828178974,50.21088,58.18
41,41,420.74,121832043.055912,17015352731.646418,15.896445,60858766309.8286,16.9554446,29.735725093109803,51.78852,58.84
42,42,423.46,64458509.239246,8305970607.684806,15.608763399999999,30921226237.1072,16.530094,28.92689380731364,53.49788,61.66
43,43,421.3,15799463.5417,1221853474.3842983,15.2685256,6478519421.432,16.1589146,28.187862834326403,55.002159999999996,61.46
44,44,417.28,3162814444.746004,498774971948.6506,14.970182,1580774813221.02,15.85345,28.205940632529877,56.64812,59.3
45,45,422.02,2003225737301.6536,316402000605797.2,15.1113364,1001610113128123.1,15.9488634,28.538551707393985,58.05076,64.22
46,46,420.04,179798950.865184,24081777772.237087,14.9841472,86726457258.4322,15.858486,28.22452514290719,59.82808,61.3
47,47,421.2,18617477931.14862,2924935940172.4175,14.907648,9304911560847.754,15.7076954,28.061943253883896,61.30588,68.18
48,48,420.52,11947217.075856,1499032395.521311,14.7481308,5610373860.667,15.574924,28.122377441827357,62.49564,65.46
49,49,421.38,273581407642.43542,43121018415879.266,14.6155652,136784467282771.7,15.455084,27.767600726278097,63.3498,69.24
50,50,420.6,414135603.492544,38200290796.02894,14.4784668,205569526731.0122,15.362774,27.44097496708526,64.0432,70.74
51,51,418.6,470515533090.34204,64355062839740.61,14.2443756,200925628896165.12,15.0836772,27.300711944068418,65.3344,74.16
52,52,420.64,70078474534.95218,11035964478841.613,14.0245748,35037220045535.277,14.8652978,26.716969815542328,66.39796,77.64
53,53,422.08,191800612.96465,22448000440.557552,13.8045328,95655843664.9992,14.7194356,26.51352206710002,67.89112,72.14
54,54,421.5,202701979257.04086,31981735600083.176,13.7028856,101297579332249.67,14.5789658,26.34235753099559,69.31587999999999,78.88
55,55,418.94,22854251.378698,2368389079.3226,13.5420208,9628276012.3146,14.453237,26.205499765018793,70.48608,77.28
56,56,419.0,382054305.410784,38561786936.88144,13.348217,188417355257.3672,14.200701,25.75347747674865,71.6216,76.12
57,57,420.38,673537335256.5922,104891800598515.55,13.143099,336737971186092.44,14.0852152,25.876011694536704,72.50452,75.32
