gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	2.84489e+08	3.32386e+09	72.957 	4.7836e+10 	             	                 	        	          
1  	418   	1.54563e+10	3.4473e+11 	72.957 	7.71614e+12	81.9319      	132.512          	2.934   	6         
2  	431   	1.41382e+09	3.1568e+10 	29.2794	7.06589e+11	31.7261      	49.7649          	4.074   	6         
3  	412   	3.67369e+10	8.10634e+11	29.2794	1.81436e+13	31.7261      	49.7649          	3.964   	6         
4  	411   	2.04467e+10	3.22621e+11	25.5286	5.11323e+12	25.3395      	37.5358          	3.886   	6         
5  	415   	2.87961e+09	4.55262e+10	29.2794	7.85456e+11	31.7261      	49.7649          	3.912   	6         
6  	418   	459532     	7.54487e+06	25.5286	1.6719e+08 	25.3395      	37.5358          	3.902   	6         
7  	405   	873719     	1.10531e+07	25.5286	2.01808e+08	25.3395      	37.5358          	3.866   	6         
8  	411   	278754     	2.35523e+06	25.5286	4.45613e+07	25.3395      	37.5358          	3.876   	6         
9  	421   	2.66387e+09	5.95042e+10	25.5286	1.33189e+12	25.3395      	37.5358          	3.966   	6         
10 	427   	2.76359e+09	5.95351e+10	25.5286	1.33192e+12	25.3395      	37.5358          	3.85    	6         
11 	411   	4.54733e+08	1.01545e+10	20.1398	2.27289e+11	20.8499      	40.545           	3.97    	5         
12 	427   	1.30313e+08	2.26284e+09	19.7184	4.78194e+10	20.9058      	36.4193          	3.9     	11        
13 	420   	3.99723e+06	8.59552e+07	19.7184	1.924e+09  	20.9058      	36.4193          	3.954   	11        
14 	423   	3.90004e+07	8.1498e+08 	19.7184	1.82044e+10	20.9058      	36.4193          	4.068   	11        
15 	405   	913825     	1.03481e+07	19.7184	1.59462e+08	20.9058      	36.4193          	4.274   	11        
16 	434   	244313     	1.26533e+06	19.7184	1.18538e+07	20.9058      	36.4193          	4.318   	11        
17 	417   	2.84662e+06	5.97107e+07	19.7184	1.33648e+09	20.9058      	36.4193          	4.756   	11        
18 	407   	6.35008e+08	1.09153e+10	25.9158	2.27289e+11	27.7377      	47.3417          	5.036   	3         
19 	436   	3.04823e+09	6.80852e+10	25.9158	1.52396e+12	27.7377      	47.3417          	5.468   	3         
20 	424   	3.37257e+07	7.49991e+08	18.3598	1.67873e+10	19.2966      	43.4052          	6.55    	11        
21 	419   	3.28725e+08	6.85543e+09	18.3598	1.53059e+11	19.2966      	43.4052          	7.262   	11        
22 	421   	3.13344e+08	6.99569e+09	19.166 	1.56585e+11	22.2771      	24.2949          	8.818   	15        
23 	421   	465056     	8.47737e+06	19.166 	1.89266e+08	22.2771      	24.2949          	11.34   	15        
24 	422   	3.46152e+07	7.50051e+08	18.574 	1.67873e+10	21.7894      	23.6012          	9.776   	15        
25 	425   	6.40631e+10	1.43106e+12	18.3598	3.20314e+13	19.2966      	43.4052          	11.768  	11        
26 	420   	1.7546e+06 	3.24459e+07	18.318 	7.23023e+08	21.3093      	27.3967          	13.76   	17        
27 	439   	621697     	6.75412e+06	13.2142	1.23618e+08	15.7826      	28.5623          	15.116  	34        
28 	406   	2.81004e+06	6.00088e+07	13.2142	1.34314e+09	15.7826      	28.5623          	16.88   	34        
29 	427   	210537     	2.68054e+06	13.2142	5.59472e+07	15.7826      	28.5623          	18.014  	34        
30 	423   	5.57017e+08	1.24389e+10	12.4394	2.7842e+11 	15.0018      	25.9845          	20.216  	32        
31 	402   	6.03003e+08	1.34564e+10	10.7818	3.01196e+11	12.9906      	19.4611          	22.308  	15        
32 	412   	91678.2    	801769     	10.7818	1.19623e+07	12.9906      	19.4611          	22.686  	15        
33 	436   	69573.6    	926926     	10.7818	1.85945e+07	12.9906      	19.4611          	25.1    	15        
34 	415   	315648     	6.2537e+06 	10.5009	1.39463e+08	12.6705      	18.8294          	28.508  	13        
35 	422   	312020     	5.67503e+06	10.5009	1.26468e+08	12.6705      	18.8294          	31.174  	13        
36 	397   	45169.4    	646326     	10.9306	1.23049e+07	13.1075      	18.5211          	32.758  	51        
37 	419   	67711.8    	622613     	10.7773	9.65929e+06	13.0681      	18.6705          	35.328  	32        
38 	423   	627624     	1.35116e+07	10.9487	3.02354e+08	13.1858      	19.0617          	39.088  	33        
39 	427   	116421     	1.07903e+06	10.8993	1.21917e+07	13.2073      	19.6606          	41.038  	72        
40 	417   	6.34528e+08	1.4172e+10 	10.6923	3.17213e+11	12.992       	19.6116          	45.168  	74        
41 	431   	1.49685e+06	3.33456e+07	10.6923	7.4638e+08 	12.992       	19.6116          	42.308  	74        
42 	417   	13792.4    	160702     	10.6603	3.20954e+06	12.9943      	19.2423          	46.06   	69        
43 	409   	44326.4    	641372     	10.5916	1.19623e+07	12.8913      	18.7952          	52.478  	53        
44 	406   	47504.7    	681277     	10.4612	1.3011e+07 	12.7883      	19.213           	64.596  	70        
45 	433   	29761.3    	391524     	10.2993	7.92042e+06	12.7027      	19.6026          	66.46   	75        
46 	421   	3.39274e+07	5.38463e+08	10.1809	9.44319e+09	12.5983      	19.1886          	69.73   	69        
47 	422   	580750     	1.0384e+07 	10.1513	2.31169e+08	12.5448      	19.1824          	68.914  	69        
48 	393   	2.17558e+07	4.84852e+08	10.1475	1.08525e+10	12.5426      	19.1892          	70.36   	66        
49 	411   	8944.09    	77618.6    	10.0918	826288     	12.5319      	19.1749          	69.65   	104       
50 	433   	1.86684e+08	3.48951e+09	10.0027	7.63145e+10	12.4142      	18.8321          	68.396  	99        
51 	436   	1.89027e+07	4.21889e+08	9.99909	9.44319e+09	12.4124      	18.838           	96.074  	97        
52 	432   	5.46044e+11	1.09641e+13	9.9548 	2.4372e+14 	12.344       	18.7328          	89.512  	102       
53 	416   	19327.8    	364760     	9.9548 	8.12363e+06	12.344       	18.7328          	92.74   	102       
54 	413   	1.86592e+07	4.16232e+08	9.93079	9.31657e+09	12.3441      	18.8511          	96.104  	98        
55 	420   	30187.9    	537615     	9.9255 	1.19623e+07	12.3414      	18.8628          	95.492  	99        
56 	422   	54.2272    	238.217    	9.90961	3559.21    	12.2869      	18.8553          	95.598  	127       
57 	405   	4.23713e+11	9.46491e+12	9.87598	2.11854e+14	12.2674      	18.7915          	99.178  	128       
58 	429   	5.13521e+06	1.14696e+08	9.80595	2.56726e+09	12.2583      	18.8486          	118.334 	131       
59 	423   	20989.4    	368049     	9.75426	8.13024e+06	12.2785      	19.3653          	123.83  	133       
60 	423   	56521.4    	740160     	9.74246	1.19623e+07	12.2641      	19.3041          	126.642 	132       
61 	421   	31809.9    	553452     	9.67269	1.19623e+07	12.2515      	19.2208          	124.732 	132       
62 	419   	1.99297e+15	4.45195e+16	9.46869	9.96484e+17	11.7594      	17.792           	125.82  	205       
63 	438   	433.475    	8913.15    	9.34597	199486     	11.5203      	17.0826          	196.828 	205       
64 	436   	1.30932e+15	2.9248e+16 	9.34597	6.5466e+17 	11.5203      	17.0826          	196.038 	205       
65 	393   	23.2321    	87.8369    	9.35176	1332.65    	11.5307      	17.1149          	197.752 	206       
66 	420   	8.07438e+14	1.80368e+16	9.3289 	4.03719e+17	11.5695      	17.4314          	197.44  	200       
67 	438   	4991.91    	110943     	9.3086 	2.48328e+06	11.4677      	16.8243          	195.308 	209       
68 	411   	1734.72    	31884.7    	9.15797	696818     	11.2006      	16.0584          	199.744 	201       
69 	427   	22.2717    	82.6286    	9.15797	1375.57    	11.2006      	16.0584          	192.666 	201       
