gen	nevals	avg        	std        	min    	max        	testing_error	std_testing_error	avg_size	elite_size
0  	500   	5.28385e+08	1.00182e+10	77.9561	2.23324e+11	             	                 	        	          
1  	416   	36260.7    	333712     	98.3599	6.70456e+06	105.1        	90.0575          	3.116   	4         
2  	417   	56508.1    	639306     	62.9848	1.34625e+07	67.8144      	61.9169          	3.282   	4         
3  	409   	21944      	99630.9    	96.0454	1.22201e+06	101.809      	140.741          	3.58    	5         
4  	412   	374265     	5.76449e+06	59.1258	1.21314e+08	61.2688      	55.2372          	3.782   	6         
5  	420   	2.32575e+07	5.10758e+08	22.8078	1.14315e+10	24.0291      	36.325           	4.204   	6         
6  	431   	4.46804e+08	9.97898e+09	62.9848	2.2336e+11 	67.8144      	61.9169          	4.644   	4         
7  	427   	9.36715e+06	1.58633e+08	50.4192	3.28962e+09	55.4551      	60.897           	5.096   	7         
8  	403   	2.6381e+06 	5.79325e+07	56.8372	1.29674e+09	61.2212      	90.4751          	5.696   	5         
9  	423   	60888.4    	574077     	51.3098	1.19623e+07	52.3519      	55.0342          	6.384   	7         
10 	429   	71902.9    	555309     	43.6518	9.90587e+06	47.7996      	79.1918          	6.826   	7         
11 	437   	6.69256e+06	1.46762e+08	43.6518	3.28499e+09	47.7996      	79.1918          	7.608   	7         
12 	415   	6.7154e+06 	1.46763e+08	39.6337	3.28499e+09	42.4426      	42.7747          	8.484   	7         
13 	432   	175595     	2.47084e+06	33.8789	5.24048e+07	36.8838      	53.8325          	9.018   	7         
14 	412   	3.39176e+07	7.4975e+08 	24.1494	1.67814e+10	25.3676      	35.896           	9.904   	12        
15 	439   	194366     	3.62781e+06	24.3006	8.10887e+07	25.5168      	36.4638          	10.67   	12        
16 	427   	56068      	632282     	24.3006	1.20384e+07	25.5168      	36.4638          	11.69   	12        
17 	417   	338761     	6.49376e+06	23.2484	1.45208e+08	24.3348      	35.6786          	12.992  	25        
